	2.339000	-0.295290	-0.312597
	2.448000	-0.292249	-0.293768
	2.558000	-0.295050	-0.295888
	2.670000	-0.291979	-0.293731
	2.776000	-0.292755	-0.293728
	2.880000	-0.293166	-0.293100
	2.991000	-0.293817	-0.295214
	3.098000	-0.292874	-0.294823
	3.203000	-0.294323	-0.295204
	3.312000	-0.293902	-0.295299
	3.422000	-0.293771	-0.294047
	3.531000	-0.292739	-0.294146
	3.643000	-0.294116	-0.295434
	3.752000	-0.295250	-0.296082
	3.857000	-0.297071	-0.297564
	3.969000	-0.293531	-0.295152
	4.079000	-0.293294	-0.294027
	4.184000	-0.294238	-0.295161
	4.294000	-0.292972	-0.294451
	4.406000	-0.294471	-0.295122
	4.516000	-0.294701	-0.295914
	4.627000	-0.291986	-0.293140
	4.738000	-0.293521	-0.294132
	4.849000	-0.293501	-0.294981
	4.954000	-0.292535	-0.294494
	5.063000	-0.293209	-0.294162
	5.170000	-0.293787	-0.295309
	5.281000	-0.294948	-0.295901
	5.394000	-0.293127	-0.293768
	5.504000	-0.292532	-0.293817
	5.611000	-0.296726	-0.296779
	5.715000	-0.293192	-0.294770
	5.826000	-0.294225	-0.295566
	5.933000	-0.293925	-0.294146
	6.040000	-0.294488	-0.296555
	6.150000	-0.292745	-0.294642
	6.256000	-0.292703	-0.294106
	6.365000	-0.293521	-0.294123
	6.472000	-0.294688	-0.295760
	6.580000	-0.293833	-0.294938
	6.691000	-0.293837	-0.295276
	6.800000	-0.294017	-0.295599
	6.906000	-0.293758	-0.293958
	7.009000	-0.294451	-0.295825
	7.116000	-0.293883	-0.294839
	7.227000	-0.295444	-0.296545
	7.337000	-0.295260	-0.296378
	7.444000	-0.292791	-0.293962
	7.554000	-0.295704	-0.297239
	7.664000	-0.295382	-0.295990
	7.771000	-0.292834	-0.294553
	7.881000	-0.293692	-0.294501
	7.992000	-0.295066	-0.297071
	8.104000	-0.294981	-0.295175
	8.212000	-0.294103	-0.294948
	8.322000	-0.293958	-0.294747
	8.432000	-0.295391	-0.296453
	8.542000	-0.292486	-0.293344
	8.652000	-0.295914	-0.296637
	8.760000	-0.295687	-0.296641
	8.869000	-0.295013	-0.296256
	8.980000	-0.294231	-0.294902
	9.092000	-0.295224	-0.295753
	9.202000	-0.293100	-0.294994
	9.315000	-0.295273	-0.296055
	9.426000	-0.293432	-0.294997
	9.537000	-0.295477	-0.296151
	9.644000	-0.293945	-0.295119
	9.752000	-0.294589	-0.295786
	9.862000	-0.294267	-0.295105
	9.972000	-0.294093	-0.295247
	10.083000	-0.293564	-0.294096
	10.194000	-0.296670	-0.298064
	10.304000	-0.293120	-0.293919
	10.409000	-0.295411	-0.296358
	10.520000	-0.295359	-0.296723
	10.631000	-0.292456	-0.294570
	10.742000	-0.294139	-0.294668
	10.852000	-0.295648	-0.296345
	10.958000	-0.294777	-0.296220
	11.065000	-0.294931	-0.296466
	11.170000	-0.294866	-0.295645
	11.282000	-0.294234	-0.295204
	11.391000	-0.294274	-0.295911
	11.503000	-0.293166	-0.294405
	11.614000	-0.293567	-0.294192
	11.725000	-0.293475	-0.294310
	11.835000	-0.294323	-0.295806
	11.947000	-0.294718	-0.296295
