20	0.045423	2.9626900000000003e-05	0.024885	1.173275e-05	
21	0.04676	3.0028000000000005e-05	0.032773	1.291595e-05	
22	0.048056	3.0416800000000003e-05	0.041412	1.4211800000000002e-05	
23	0.049321	3.07963e-05	0.051033	1.565495e-05	
24	0.050559	3.11677e-05	0.061833	1.7274950000000003e-05	
25	0.051772	3.15316e-05	0.073886	1.90829e-05	
26	0.052962	3.1888600000000005e-05	0.087325	2.109875e-05	
27	0.05413	3.2239e-05	0.102157	2.332355e-05	
28	0.055277	3.25831e-05	0.118513	2.577695e-05	
29	0.056405	3.29215e-05	0.136444	2.8466600000000003e-05	
